"","gamma","b","m","pt_shape","ft_t_shape","ft_t_theta","gt_t_shape","gt_t_theta","ATE_t","ATE_t_empirical","ASPNC_t","ASPNC_t_empirical","AvgTau_t","tau_t_shape","tau_t_theta","beta_t0","beta_t1","beta_t2","alpha_t0","alpha_t1","alpha_t2","p","q","ft_w_shape","ft_w_theta","gt_w_shape","gt_w_theta","beta_w0","beta_w1","beta_w2","alpha_w0","alpha_w1","alpha_w2","ATE_w","ATE_w_empirical","ASPNC_w","ASPNC_w_empirical","AvgTau_w","tau_w_shape","tau_w_theta","p_w","q_w","n","AvgTau_tw_ratio","power_unadj","power_adj","typeierror_unadj","typeierror_adj"
"92",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",-0.3,1.3,1.2999999999951,0.3,0.299999999999943,0.6,"linear",-0.2,0.177745374423185,0.00541356470324423,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",-0.3,"linear_theta",-0.3,0.17912344229912,0.00545553631367878,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.29999999999559,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,51,0.8,0.6945,0.671,0.042,0.034
"94",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999943,0.6,"linear",-0.2,0.262364264467491,NA,NA,-0.804057142809468,-0.0244890500348061,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.3,0.3,0.299999999999908,0.75,"linear",-0.2,1,2,41,0.8,0.71,0.69,0.062,0.0525
"95",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999943,0.6,"linear",-0.2,0.262364264467491,0,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.3,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,50,0.8,0.7125,0.6845,0.053,0.0435
"98",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.2999999999949,0.3,0.299999999999943,0.6,"linear",-0.2,0.344596075739081,-0.00539837194369318,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.341959386540508,-0.0053570661076842,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.29999999999431,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,47,0.8,0.745,0.7265,0.054,0.043
"101",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999364,0.3,0.300000000000103,0.6,"linear",-0.2,0.1728238407064,0.00526367027532183,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.173763206428349,0.00529228039883296,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999408,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,50,0.8,0.7285,0.709,0.049,0.04
"102",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.416209331636903,-0.0265733924944526,0.000857206209498471,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.416209331636903,-0.0265733924944526,0.00085720620949847,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,58,0.8,0.7095,0.6775,0.0505,0.0385
"103",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,1,3,41,0.8,0.723,0.7035,0.0625,0.05
"104",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,51,0.8,0.7055,0.683,0.0465,0.038
"105",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,57,0.8,0.724,0.686,0.046,0.032
"107",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.355327936071764,-0.0055664950820642,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.353282030829803,-0.00553444434720318,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,50,0.8,0.726,0.7035,0.049,0.04
"108",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999408,0.3,0.300000000000103,0.6,"linear",-0.2,0.142081677989225,0.0204584417309819,-0.000659949733257482,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.142081677989225,0.0204584417309819,-0.000659949733257482,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999408,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,54,0.8,0.725,0.687,0.0445,0.0345
"112",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.75,"linear",-0.2,1,1,42,0.8,0.737,0.7115,0.0515,0.045
"119",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999201,0.3,0.300000000000001,0.6,"linear",-0.2,0.171453549663017,0.00522193552273149,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.17262256613004,0.00525754008517887,NA,-1.20397280432593,0,NA,1.3,1.29999999999267,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,51,0.8,0.691,0.6655,0.042,0.0365
"121",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,1,2,42,0.8,0.7355,0.712,0.052,0.0445
"122",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,52,0.8,0.706,0.685,0.0525,0.0435
"125",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.357751578690776,-0.00560446337374584,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.355128409373729,-0.00556336933744745,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,51,0.8,0.694,0.6715,0.042,0.0365
"128",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999201,0.3,0.300000000000001,0.6,"linear",-0.2,0.171453549663017,0.00522193552273149,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.17262256613004,0.00525754008517887,NA,-1.20397280432593,0,0,1.3,1.29999999999267,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,51,0.8,0.6885,0.6645,0.0405,0.036
"129",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.395553978131988,-0.0252546262533424,0.000814665363011044,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395553978131988,-0.0252546262533424,0.000814665363011045,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,57,0.8,0.7075,0.679,0.043,0.0345
"130",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,1,3,42,0.8,0.7355,0.709,0.0505,0.0445
"131",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,52,0.8,0.705,0.6805,0.052,0.043
"132",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,60,0.8,0.7125,0.683,0.0355,0.027
"134",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.357751578690776,-0.00560446337374584,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.355128409373729,-0.00556336933744745,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,51,0.8,0.689,0.6665,0.0405,0.036
"135",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.147809524080581,0.0212831983580321,-0.000686554785742972,-1.20397280432593,0,0,3,3,"quadratic_theta",0.3,"quadratic_theta",0,0.147809524080581,0.0212831983580321,-0.000686554785742972,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,3,3,58,0.8,0.702,0.676,0.0405,0.0325
"146",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0.3,1.3,1.29999999998748,0.3,0.299999999998052,0.6,"linear",-0.2,0.165496074770097,0.00504048958690652,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",-0.3,"linear_theta",0.3,0.166507658272537,0.00507129923672703,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.29999999998836,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,48,0.8,0.7045,0.681,0.049,0.043
"148",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.68229096946365,0.0263544277200572,NA,1,2,"constant",0,"linear_theta",0.3,0.262364264467491,NA,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,1,2,41,0.8,0.724,0.699,0.056,0.047
"149",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",0,"linear_theta",0.3,0.262364264467491,0,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,50,0.8,0.7205,0.6995,0.0525,0.043
"152",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0.3,1.3,1.3,0.3,0.299999999998052,0.6,"linear",-0.2,0.372363821053877,-0.00583337578674481,NA,-1.68229096946365,0.0263544277200572,NA,2,2,"linear_theta",0.3,"linear_theta",0.3,0.369693968947247,-0.00579155042737201,NA,-1.67006784119298,0.0261629426818743,NA,1.3,1.3,0.3,0.29999999999848,0.75,"linear",-0.2,2,2,51,0.8,0.6885,0.666,0.045,0.037
"155",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0.3,1.3,1.29999999999014,0.3,0.299999999999047,0.6,"linear",-0.2,0.170146156262604,0.00518211643439404,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",-0.3,"quadratic_theta",0.3,0.17153105632182,0.00522429613162904,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.29999999999106,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,49,0.8,0.7305,0.708,0.0535,0.047
"156",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.377504039146773,-0.0241022058804771,0.000777490512273453,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",-0.3,"quadratic_theta",0.3,0.377504039146773,-0.0241022058804771,0.000777490512273453,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,52,0.8,0.691,0.6585,0.046,0.0375
"157",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,NA,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1,3,"constant",0,"quadratic_theta",0.3,0.262364264467491,NA,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,1,3,41,0.8,0.7085,0.6895,0.0635,0.0565
"158",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,0,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",0,"quadratic_theta",0.3,0.262364264467491,0,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,51,0.8,0.7015,0.6795,0.0455,0.037
"159",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.262364264467491,0,0,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",0,"quadratic_theta",0.3,0.262364264467491,0,0,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,57,0.8,0.707,0.68,0.046,0.04
"161",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.360140370838448,-0.00564188570504096,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,2,3,"linear_theta",0.3,"quadratic_theta",0.3,0.356941758559478,-0.00559177689649314,NA,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,2,3,49,0.8,0.719,0.6925,0.0535,0.047
"162",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",0.3,1.3,1.3,0.3,0.299999999999047,0.6,"linear",-0.2,0.15387255040673,0.022156217825161,-0.000714716704037451,-0.69472137700259,-0.100033424519049,0.00322688466190481,3,3,"quadratic_theta",0.3,"quadratic_theta",0.3,0.15387255040673,0.022156217825161,-0.000714716704037451,-0.69472137700259,-0.100033424519049,0.00322688466190481,1.3,1.3,0.3,0.299999999999047,0.75,"linear",-0.2,3,3,58,0.8,0.6975,0.6655,0.046,0.0395
"173",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.183489759400185,0.00558852059086858,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",-0.3,"linear_theta",-0.3,0.183721052238502,0.00559556504279701,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,51,0.8,0.7295,0.705,0.0495,0.0425
"175",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,NA,NA,-0.829243282842297,-0.0252561405941816,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,1,2,41,0.8,0.7235,0.704,0.0415,0.0375
"176",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999655,0.6,"sine",-0.2,0.262364264467491,0,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.3,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,51,0.8,0.7305,0.71,0.0495,0.0425
"179",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.2999999999923,0.3,0.299999999999655,0.6,"sine",-0.2,0.33421047707525,-0.00523567327010835,NA,-0.829243282842297,-0.0252561405941816,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.333812399238609,-0.00522943706379022,NA,-0.830238719024449,-0.0252864584474451,NA,1.3,1.29999999999216,0.3,0.299999999999634,0.75,"sine",-0.2,2,2,47,0.8,0.713,0.6895,0.0515,0.0415
"182",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999546,0.3,0.300000000000101,0.6,"sine",-0.2,0.177145472838715,0.00539529358899641,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.177243909747812,0.00539829166744605,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.2999999999955,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,50,0.8,0.7355,0.709,0.055,0.0425
"183",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.416607810764102,-0.0265988338804163,0.000858026899368269,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.416527942076958,-0.0265937345666573,0.000857862405376041,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,58,0.8,0.711,0.675,0.043,0.0325
"184",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,1,3,41,0.8,0.732,0.7135,0.053,0.0475
"185",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,51,0.8,0.735,0.7095,0.0515,0.0435
"186",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000101,0.6,"sine",-0.2,0.262364264467491,0,0,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.3,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,58,0.8,0.7035,0.675,0.043,0.0325
"188",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999583,0.3,0.300000000000101,0.6,"sine",-0.2,0.346333386338067,-0.00542558829772428,NA,-1.87513840014018,0.119720498558679,-0.00386195156640902,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.34613763334,-0.00542252167112272,NA,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.29999999999579,0.3,0.300000000000102,0.75,"sine",-0.2,2,3,50,0.8,0.7245,0.701,0.055,0.0425
"189",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999404,0.3,0.300000000000101,0.6,"sine",-0.2,0.14198421427318,0.0204444078612823,-0.000659497027783301,-1.87513840014018,0.119720498558679,-0.00386195156640902,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.142003720073932,0.0204472165153872,-0.000659587629528619,-1.8747469056847,0.119695503117602,-0.00386114526185814,1.3,1.29999999999405,0.3,0.300000000000102,0.75,"sine",-0.2,3,3,55,0.8,0.6985,0.6695,0.0475,0.0385
"193",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.75,"sine",-0.2,1,1,42,0.8,0.73,0.714,0.05,0.0465
"200",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.17669601550186,0.00538160453305159,NA,-1.20397280432593,0,NA,1.3,1.29999999999462,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,51,0.8,0.7365,0.713,0.0595,0.0495
"202",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,1,2,42,0.8,0.7335,0.7125,0.05,0.0465
"203",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,52,0.8,0.7015,0.682,0.046,0.0395
"206",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.346613972436696,-0.00542998390240254,NA,-1.20397280432593,0,NA,1.3,1.29999999999527,0.3,0.300000000000001,0.75,"sine",-0.2,2,2,51,0.8,0.7205,0.6995,0.0595,0.0495
"209",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999454,0.3,0.300000000000001,0.6,"sine",-0.2,0.176499787241293,0.00537562803780587,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.17669601550186,0.00538160453305159,NA,-1.20397280432593,0,0,1.3,1.29999999999462,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,51,0.8,0.7365,0.712,0.0595,0.0475
"210",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.396006735475736,-0.0252835330982535,0.000815597841879144,-1.20397280432593,0,0,3,3,"quadratic_theta",-0.3,"quadratic_theta",0,0.395915862787608,-0.0252777312206282,0.000815410684536394,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,3,3,57,0.8,0.6805,0.652,0.0535,0.0435
"211",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,0,1,3,"constant",0,"quadratic_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,1,3,42,0.8,0.7335,0.7095,0.0475,0.0455
"212",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,0,2,3,"linear_theta",0,"quadratic_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,52,0.8,0.6975,0.6745,0.046,0.04
"213",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"sine",-0.2,0.262364264467491,0,0,-1.20397280432593,0,0,3,3,"quadratic_theta",0,"quadratic_theta",0,0.262364264467491,0,0,-1.20397280432593,0,0,1.3,1.3,0.3,0.300000000000001,0.75,"sine",-0.2,3,3,60,0.8,0.6865,0.6605,0.046,0.037
"215",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",0,1.3,1.29999999999535,0.3,0.300000000000001,0.6,"sine",-0.2,0.347007048788297,-0.00543614175647462,NA,-1.20397280432593,0,0,2,3,"linear_theta",0.3,"quadratic_theta",0,0.346613972436696,-0.00542998390240254,NA,-1.20397280432593,0,0,1.3,1.29999999999527,0.3,0.300000000000001,0.75,"sine",-0.2,2,3,51,0.8,0.72,0.7015,0.0595,0.0475
