"","gamma","b","m","pt_shape","ft_t_shape","ft_t_theta","gt_t_shape","gt_t_theta","ATE_t","ATE_t_empirical","ASPNC_t","ASPNC_t_empirical","AvgTau_t","tau_t_shape","tau_t_theta","beta_t0","beta_t1","beta_t2","alpha_t0","alpha_t1","alpha_t2","p","q","ft_w_shape","ft_w_theta","gt_w_shape","gt_w_theta","beta_w0","beta_w1","beta_w2","alpha_w0","alpha_w1","alpha_w2","ATE_w","ATE_w_empirical","ASPNC_w","ASPNC_w_empirical","AvgTau_w","tau_w_shape","tau_w_theta","p_w","q_w","n","AvgTau_tw_ratio"
"92",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",-0.3,1.3,1.2999999999951,0.3,0.299999999999943,0.6,"linear",-0.2,0.177745374423185,0.00541356470324423,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",-0.3,"linear_theta",-0.3,0.17912344229912,0.00545553631367878,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.29999999999559,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,51,0.8
"94",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999943,0.6,"linear",-0.2,0.262364264467491,NA,NA,-0.804057142809468,-0.0244890500348061,NA,1,2,"constant",0,"linear_theta",-0.3,0.262364264467491,NA,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.3,0.3,0.299999999999908,0.75,"linear",-0.2,1,2,41,0.8
"95",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",-0.3,1.3,1.3,0.3,0.299999999999943,0.6,"linear",-0.2,0.262364264467491,0,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",0,"linear_theta",-0.3,0.262364264467491,0,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.3,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,50,0.8
"98",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",-0.3,1.3,1.2999999999949,0.3,0.299999999999943,0.6,"linear",-0.2,0.344596075739081,-0.00539837194369318,NA,-0.804057142809468,-0.0244890500348061,NA,2,2,"linear_theta",0.3,"linear_theta",-0.3,0.341959386540508,-0.0053570661076842,NA,-0.810012174506443,-0.0246704215585719,NA,1.3,1.29999999999431,0.3,0.299999999999908,0.75,"linear",-0.2,2,2,47,0.8
"101",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",-0.3,1.3,1.29999999999364,0.3,0.300000000000103,0.6,"linear",-0.2,0.1728238407064,0.00526367027532183,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",-0.3,"quadratic_theta",-0.3,0.173763206428349,0.00529228039883296,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999408,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,50,0.8
"102",0.05,0.2,30,"constant 0.5","quadratic_theta",-0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.416209331636903,-0.0265733924944526,0.000857206209498471,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",-0.3,"quadratic_theta",-0.3,0.416209331636903,-0.0265733924944526,0.00085720620949847,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,58,0.8
"103",0.05,0.2,30,"constant 0.5","constant",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1,3,"constant",0,"quadratic_theta",-0.3,0.262364264467491,NA,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,1,3,41,0.8
"104",0.05,0.2,30,"constant 0.5","linear_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,51,0.8
"105",0.05,0.2,30,"constant 0.5","quadratic_theta",0,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0,"quadratic_theta",-0.3,0.262364264467491,0,0,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,57,0.8
"107",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"quadratic_theta",-0.3,1.3,1.3,0.3,0.300000000000103,0.6,"linear",-0.2,0.355327936071764,-0.0055664950820642,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,2,3,"linear_theta",0.3,"quadratic_theta",-0.3,0.353282030829803,-0.00553444434720318,NA,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.3,0.3,0.300000000000103,0.75,"linear",-0.2,2,3,50,0.8
"108",0.05,0.2,30,"constant 0.5","quadratic_theta",0.3,"quadratic_theta",-0.3,1.3,1.29999999999408,0.3,0.300000000000103,0.6,"linear",-0.2,0.142081677989225,0.0204584417309819,-0.000659949733257482,-1.87318625760068,0.119595861636909,-0.00385793102054547,3,3,"quadratic_theta",0.3,"quadratic_theta",-0.3,0.142081677989225,0.0204584417309819,-0.000659949733257482,-1.87318625760068,0.119595861636909,-0.00385793102054547,1.3,1.29999999999408,0.3,0.300000000000103,0.75,"linear",-0.2,3,3,54,0.8
"112",0.05,0.2,30,"constant 0.5","constant",0,"constant",0,1.3,1.3,0.3,0.3,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1,1,"constant",0,"constant",0,0.262364264467491,NA,NA,-1.20397280432594,NA,NA,1.3,1.3,0.3,0.3,0.75,"linear",-0.2,1,1,42,0.8
"119",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"linear_theta",0,1.3,1.29999999999201,0.3,0.300000000000001,0.6,"linear",-0.2,0.171453549663017,0.00522193552273149,NA,-1.20397280432593,0,NA,2,2,"linear_theta",-0.3,"linear_theta",0,0.17262256613004,0.00525754008517887,NA,-1.20397280432593,0,NA,1.3,1.29999999999267,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,51,0.8
"121",0.05,0.2,30,"constant 0.5","constant",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1,2,"constant",0,"linear_theta",0,0.262364264467491,NA,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,1,2,42,0.8
"122",0.05,0.2,30,"constant 0.5","linear_theta",0,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.262364264467491,0,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0,"linear_theta",0,0.262364264467491,0,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,52,0.8
"125",0.05,0.2,30,"constant 0.5","linear_theta",0.3,"linear_theta",0,1.3,1.3,0.3,0.300000000000001,0.6,"linear",-0.2,0.357751578690776,-0.00560446337374584,NA,-1.20397280432593,0,NA,2,2,"linear_theta",0.3,"linear_theta",0,0.355128409373729,-0.00556336933744745,NA,-1.20397280432593,0,NA,1.3,1.3,0.3,0.300000000000001,0.75,"linear",-0.2,2,2,51,0.8
"128",0.05,0.2,30,"constant 0.5","linear_theta",-0.3,"quadratic_theta",0,1.3,1.29999999999201,0.3,0.300000000000001,0.6,"linear",-0.2,0.171453549663017,0.00522193552273149,NA,-1.20397280432593,0,0,2,3,"linear_theta",-0.3,"quadratic_theta",0,0.17262256613004,0.00525754008517887,NA,-1.20397280432593,0,0,1.3,1.29999999999267,0.3,0.300000000000001,0.75,"linear",-0.2,2,3,51,0.8
